4917484589897107
Currencies: ARS, EUR, USD	01/2029	Any	GENERAL_PAYMENT_PROCESSING_ERROR
4000000000001000	11/2029	901	AUTHORIZATION_AMOUNT_ALREADY_REVERSED
4000000000001000	11/2029	902	AUTHORIZATION_AMOUNT_NOT_VALID
4000000000001000	11/2029	903	AUTHORIZATION_EXPIRED
4000000000001000	11/2029	904	AUTHORIZATION_NOT_FOUND
4000000000001000	11/2029	905	BLS_CONNECTION_PROBLEM
4000000000001000	11/2029	906	CALL_ISSUER
4000000000001000	11/2029	907	CARD_LOST_OR_STOLEN
4000000000001000	11/2029	908	CVV_ERROR
4000000000001000	11/2029	909	DO_NOT_HONOR
4000000000001000	11/2029	910	EXPIRED_CARD
4000000000001000	11/2029	911	HIGH_RISK_ERROR
4000000000001000	11/2029	912	INCORRECT_INFORMATION
4000000000001000	11/2029	913	INCORRECT_SETUP
4000000000001000	11/2029	914	INSUFFICENT_FUNDS
4000000000001000	11/2029	915	INVALID_AMOUNT
4000000000001000	11/2029	916	INVALID_CARD_NUMBER
4000000000001000	11/2029	917	INVALID_CARD_TYPE
